pathway_id,pathway_name,mean_abs_ig_attribution,std_abs_ig_attribution,n_seeds,rank_by_mean,se_abs_ig_attribution,cv_abs_ig_attribution,consistency_score,above_mean_floor,rank_by_consistency_filtered
R-HSA-9013418,RHOBTB2 GTPase cycle,0.000366441,0.000295382,10,451,9.34E-05,0.80608373,3.92301388,FALSE,
R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,0.000425898,0.000342911,10,429,0.000108438,0.805149571,3.927565478,FALSE,
R-HSA-198753,ERK/MAPK targets,0.000383279,0.000308478,10,446,9.75E-05,0.804840803,3.929072243,FALSE,
R-HSA-429947,Deadenylation of mRNA,0.000474498,0.000380902,10,408,0.000120452,0.802747357,3.939318682,FALSE,
R-HSA-186712,Regulation of beta-cell development,0.000489493,0.000390421,10,403,0.000123462,0.79760333,3.964724748,FALSE,
R-HSA-9927418,Developmental Lineage of Mammary Gland Luminal Epithelial Cells,0.000378631,0.000299486,10,448,9.47E-05,0.790970116,3.997973622,FALSE,
R-HSA-3928664,Ephrin signaling,0.000680146,0.000537638,10,328,0.000170016,0.790474837,4.00047859,FALSE,
R-HSA-74158,RNA Polymerase III Transcription,0.000608522,0.000480594,10,355,0.000151977,0.789773512,4.004031042,FALSE,
R-HSA-201451,Signaling by BMP,0.000798968,0.00062969,10,277,0.000199126,0.788129629,4.012382663,FALSE,
R-HSA-428930,Thromboxane signalling through TP receptor,0.000539699,0.000422371,10,382,0.000133565,0.782603521,4.040714837,FALSE,
R-HSA-1502540,Signaling by Activin,0.000418927,0.000325544,10,432,0.000102946,0.777090838,4.069379675,FALSE,
R-HSA-9709570,Impaired BRCA2 binding to RAD51,0.000348761,0.000270895,10,457,8.57E-05,0.776735832,4.071239575,FALSE,
R-HSA-397795,G-protein beta:gamma signalling,0.000727398,0.000558248,10,305,0.000176534,0.767459126,4.120450915,FALSE,
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,0.000179175,0.000136922,10,489,4.33E-05,0.764178691,4.13813902,FALSE,
R-HSA-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,0.000572881,0.000437536,10,369,0.000138361,0.763746691,4.140479686,FALSE,
R-HSA-2514856,The phototransduction cascade,0.000728058,0.000554876,10,304,0.000175467,0.76213126,4.149255944,FALSE,
R-HSA-9638630,Attachment of bacteria to epithelial cells,0.000656519,0.000498717,10,334,0.000157708,0.759639286,4.162867451,FALSE,
R-HSA-9006335,Signaling by Erythropoietin,0.000840789,0.000637656,10,263,0.000201645,0.758402169,4.169657983,FALSE,
