pathway_id,pathway_name,mean_abs_ig_attribution
R-HSA-389513,Co-inhibition by CTLA4,0.0001612244712959484
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.00016112231762994265
R-HSA-1592389,Activation of Matrix Metalloproteinases,0.00016103293205316905
R-HSA-1566977,Fibronectin matrix formation,0.00016099714056370715
R-HSA-176033,Interactions of Vpr with host cellular proteins,0.0001578789482504972
R-HSA-9696264,RND3 GTPase cycle,0.00015753476420671703
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,0.00015591282037638753
R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,0.00015382435587102983
R-HSA-5601884,PIWI-interacting RNA (piRNA) biogenesis,0.00015359727157476257
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.0001528379972462009
R-HSA-202040,G-protein activation,0.00015254492408833646
R-HSA-5655332,Signaling by FGFR3 in disease,0.00015213037419764812
R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes,0.0001512249090982353
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,0.00015030791304358325
R-HSA-888590,"GABA synthesis, release, reuptake and degradation",0.00014835852999185888
R-HSA-5656169,Termination of translesion DNA synthesis,0.00014729033165365217
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,0.00014493776318631738
R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,0.00014405192051678437
R-HSA-418360,Platelet calcium homeostasis,0.00014355424348663382
R-HSA-420092,Glucagon-type ligand receptors,0.00014189874520271676
R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,0.00013895187733815046
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,0.0001366688795779961
R-HSA-9933387,"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.00013635029066499336
R-HSA-428930,Thromboxane signalling through TP receptor,0.00013573675642587993
R-HSA-5602498,MyD88 deficiency (TLR2/4),0.00013355950255612998
R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),0.00013304623517301125
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,0.00013296361801294181
R-HSA-167290,Pausing and recovery of HIV elongation,0.00013093774162414265
R-HSA-9748787,Azathioprine ADME,0.00012879552476901572
R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.00012864986496246745
R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,0.000128224212908129
R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,0.00012766548951131557
R-HSA-180024,DARPP-32 events,0.0001272357798771731
R-HSA-9958790,SLC-mediated transport of inorganic anions,0.0001257807525749049
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.00012431075892127983
R-HSA-187687,Signalling to ERKs,0.00012376560757114264
R-HSA-5654727,Negative regulation of FGFR2 signaling,0.00012361924404651693
R-HSA-977068,Termination of O-glycan biosynthesis,0.00012324706157311758
R-HSA-69190,DNA strand elongation,0.0001230383749344702
R-HSA-5663084,Diseases of carbohydrate metabolism,0.00012223732881064424
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",0.00012220594671512387
R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,0.00012217880883323535
R-HSA-8979227,Triglyceride metabolism,0.00012038560890064225
R-HSA-210993,Tie2 Signaling,0.0001200009485213454
R-HSA-5621480,Dectin-2 family,0.0001194715613691764
R-HSA-9013424,RHOV GTPase cycle,0.00011883072864223089
R-HSA-9696270,RND2 GTPase cycle,0.00011861034215441216
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.00011831265348454103
R-HSA-9634815,Transcriptional Regulation by NPAS4,0.00011824520309886679
R-HSA-8849932,Synaptic adhesion-like molecules,0.0001165703684747763
R-HSA-9934037,Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),0.00011620122030828855
R-HSA-9031628,NGF-stimulated transcription,0.00011406596753393203
R-HSA-975634,Retinoid metabolism and transport,0.00011391332179593525
R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.00011339956884488972
R-HSA-8863795,Downregulation of ERBB2 signaling,0.00011179141293879739
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,0.00011115654722267756
R-HSA-3238698,WNT ligand biogenesis and trafficking,0.0001100201590255434
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,0.00010926813998143425
R-HSA-418885,DCC mediated attractive signaling,0.00010595143012334839
R-HSA-76009,Platelet Aggregation (Plug Formation),0.00010475960121291473
R-HSA-8941326,RUNX2 regulates bone development,0.00010335851316970173
R-HSA-5358508,Mismatch Repair,0.00010209649403760546
R-HSA-5627117,RHO GTPases Activate ROCKs,0.00010200397240838163
R-HSA-9709603,Impaired BRCA2 binding to PALB2,0.00010180880755964947
R-HSA-392451,G beta:gamma signalling through PI3Kgamma,0.00010077217705691609
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,0.00010045285171315815
R-HSA-9669938,Signaling by KIT in disease,0.00010028825691639178
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,9.901885487327165e-05
R-HSA-1614635,Sulfur amino acid metabolism,9.87169017214726e-05
R-HSA-418457,cGMP effects,9.703944610206546e-05
R-HSA-1433559,Regulation of KIT signaling,9.597339571587651e-05
R-HSA-5603041,IRAK4 deficiency (TLR2/4),9.243376480153038e-05
R-HSA-2024101,CS/DS degradation,9.144235831952762e-05
R-HSA-163615,PKA activation,9.140419341442874e-05
R-HSA-3928664,Ephrin signaling,8.910857654694047e-05
